seq,coupon_spec_seq,user_seq,issued_at,used_at,expires_at
1332,1,73571825,2025-06-10 17:54:32.716000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1333,1,73571875,2025-06-10 17:58:24.169000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1334,1,73571939,2025-06-10 18:01:42.314000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1335,1,73572005,2025-06-10 18:05:54.924000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1336,1,73572069,2025-06-10 18:11:35.112000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1337,1,73572085,2025-06-10 18:12:49.643000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1338,1,73572103,2025-06-10 18:14:11.548000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1339,1,73572119,2025-06-10 18:15:21.867000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1340,1,73572151,2025-06-10 18:18:45.356000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1341,1,73572191,2025-06-10 18:23:04.149000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1342,1,73572197,2025-06-10 18:23:51.668000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1343,1,73572259,2025-06-10 18:25:26.006000 +00:00,2025-06-10 18:27:54.560000 +00:00,2025-06-18 14:59:59.000000 +00:00
1344,1,73572343,2025-06-10 18:27:02.341000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1345,1,73572711,2025-06-10 18:33:49.635000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1346,1,73572761,2025-06-10 18:34:28.939000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1347,1,73572839,2025-06-10 18:35:43.480000 +00:00,2025-06-10 18:51:27.947000 +00:00,2025-06-18 14:59:59.000000 +00:00
1348,1,73573001,2025-06-10 18:38:19.639000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1349,1,73573489,2025-06-10 18:47:42.116000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1350,1,73573549,2025-06-10 18:48:45.975000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1351,1,73573571,2025-06-10 18:49:07.846000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1352,1,73573615,2025-06-10 18:49:58.015000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1353,1,73573669,2025-06-10 18:51:08.490000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1354,1,73573675,2025-06-10 18:51:16.961000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1355,1,73573821,2025-06-10 18:57:22.427000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1356,1,73573837,2025-06-10 18:57:55.265000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1357,1,73573867,2025-06-10 19:00:28.108000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1358,1,73573931,2025-06-10 19:05:28.761000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1359,1,73574017,2025-06-10 19:12:21.518000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1360,1,73574041,2025-06-10 19:13:18.504000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1361,1,73574169,2025-06-10 19:22:24.019000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1362,1,73574231,2025-06-10 19:30:15.351000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1363,1,73574261,2025-06-10 19:34:10.239000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1364,1,73574283,2025-06-10 19:36:36.843000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1365,1,73574319,2025-06-10 19:41:35.647000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1366,1,73574325,2025-06-10 19:42:14.654000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1367,1,73574363,2025-06-10 19:48:59.175000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1368,1,73574399,2025-06-10 19:52:21.025000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1369,1,73574507,2025-06-10 20:05:00.538000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1370,1,73574585,2025-06-10 20:11:54.152000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1371,1,73574671,2025-06-10 20:27:15.777000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1372,1,73574725,2025-06-10 20:36:21.125000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1373,1,73574741,2025-06-10 20:37:09.203000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1374,1,73574771,2025-06-10 20:42:08.594000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1375,1,73574779,2025-06-10 20:43:16.819000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1376,1,73574799,2025-06-10 20:46:52.716000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1377,1,73574823,2025-06-10 20:51:22.325000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1378,1,73574917,2025-06-10 20:59:08.216000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1379,1,73574957,2025-06-10 21:04:44.325000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1380,1,73574985,2025-06-10 21:08:03.308000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1381,1,73575025,2025-06-10 21:13:34.493000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1382,1,73575149,2025-06-10 21:22:47.697000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1383,1,73575167,2025-06-10 21:23:09.897000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1384,1,73575207,2025-06-10 21:25:12.901000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1385,1,73575233,2025-06-10 21:27:37.761000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1386,1,73575285,2025-06-10 21:32:02.410000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1387,1,73575301,2025-06-10 21:34:31.944000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1388,1,73575303,2025-06-10 21:34:58.140000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1389,1,73575367,2025-06-10 21:40:14.816000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1390,1,73575467,2025-06-10 21:47:40.603000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1391,1,73575513,2025-06-10 21:52:04.279000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1392,1,73575521,2025-06-10 21:54:00.300000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1393,1,73575537,2025-06-10 21:56:05.961000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1394,1,73575749,2025-06-10 22:01:03.339000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1395,1,73578155,2025-06-10 22:13:33.600000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1396,1,73578337,2025-06-10 22:14:17.385000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1397,1,73582137,2025-06-10 22:30:07.927000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1398,1,73582493,2025-06-10 22:34:09.912000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1399,1,73582939,2025-06-10 22:40:50.723000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1400,1,73583033,2025-06-10 22:41:55.587000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1401,1,73583235,2025-06-10 22:44:28.657000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1402,1,73583395,2025-06-10 22:46:38.739000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1403,1,73583443,2025-06-10 22:47:20.756000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1404,1,73583581,2025-06-10 22:49:24.343000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1405,1,73583589,2025-06-10 22:49:30.858000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1406,1,73583765,2025-06-10 22:52:09.795000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1407,1,73584419,2025-06-10 23:01:24.237000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1408,1,73584633,2025-06-10 23:04:00.861000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1409,1,73584739,2025-06-10 23:05:13.227000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1410,1,73584741,2025-06-10 23:05:13.459000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1411,1,73584743,2025-06-10 23:05:15.957000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1412,1,73584879,2025-06-10 23:06:55.590000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1413,1,73584927,2025-06-10 23:07:30.595000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1414,1,73585235,2025-06-10 23:11:42.909000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1415,1,73585805,2025-06-10 23:19:30.843000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1416,1,73586053,2025-06-10 23:22:54.393000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1417,1,73586107,2025-06-10 23:23:36.418000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1418,1,73586219,2025-06-10 23:25:10.052000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1419,1,73586351,2025-06-10 23:27:04.066000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1420,1,73586677,2025-06-10 23:31:16.108000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1421,1,73586735,2025-06-10 23:31:40.075000 +00:00,2025-06-11 00:38:43.353000 +00:00,2025-06-18 14:59:59.000000 +00:00
1422,1,73587369,2025-06-10 23:39:46.012000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1423,1,73587569,2025-06-10 23:42:33.850000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1424,1,73588043,2025-06-10 23:49:17.084000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1425,1,73588093,2025-06-10 23:50:00.470000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1426,1,73588447,2025-06-10 23:55:06.199000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1427,1,73588585,2025-06-10 23:57:10.762000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1428,1,73588691,2025-06-10 23:58:45.610000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1429,1,73589103,2025-06-11 00:00:19.345000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1430,1,73589289,2025-06-11 00:01:00.252000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1431,1,73589631,2025-06-11 00:01:55.954000 +00:00,,2025-06-18 14:59:59.000000 +00:00
