스킬ID,스킬,Target Scope,Target Tags
20347,내 인생의 귀인 + 운명의 상대는?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
18639,걔는 나를 연애 상대로 볼까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
19315,2022년 놓치면 안 될 3번의 기회,ALL,NEW_YEAR
23885,타고난 재물운: 내 사주에 돈복 있을까?,ALL,WEALTH
21271,2022년 하반기 솔로탈출시기,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
18765,네이탈 차트: 내 타고난 성격 리포트,"LOVE_SINGLE, LOVE_COUPLE",
35527,사주 궁합으로 보는 우리의 현재와 미래,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
18641,걔도 지금 나 보고 싶을까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
29951,반드시 손절해야 할 내 인생 3명의 악인,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
34385,[2인 할인] 2024년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
40708,"이별, 그 후… 너와 나의 속마음","LOVE_SINGLE, LOVE_COUPLE","LOVE_MATCH, LOVE_REUNION"
26213,2023년 솔로 탈출 시기 + 사주로 보는 결혼 상대,LOVE_SINGLE,"LOVE_MARRIAGE, LOVE_NEW, NEW_YEAR"
51499,[창광] 25년 하반기 운세 통합편,"LOVE_SINGLE, LOVE_COUPLE","NEW_YEAR, OVERALL"
42028,[창광] 24년 하반기 직업운과 합격운,ALL,"CAREER, NEW_YEAR"
25991,내 사주의 재혼운: 재혼해도 잘 살까?,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
26500,"내 사주의 천생연분, 어떤 사람일까?","LOVE_SINGLE, LOVE_COUPLE",OVERALL
38993,사주로 보는 결혼 : 그 사람의 본심 👤,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH"
41074,[완결판] 곧 다가올 나의 인생 연애,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
34952,손금으로 보는 결혼운 : 결혼하면 어떨까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
24779,재회 타로: 우리가 헤어진 진짜 이유,LOVE_SINGLE,LOVE_REUNION
25034,내 아이의 합격운: 인생 피는 진로 풀이,"LOVE_SINGLE, LOVE_COUPLE","CAREER, FAMILY"
18467,먼저 연락 올 확률은?,LOVE_SINGLE,LOVE_REUNION
18301,{{이름}}[[이의/의]] 7월 종합운,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,LOVE_COUPLE,FAMILY
26374,그 사람과 나의 결혼 궁합 + 속 궁합,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH, LOVE_NEW"
16378,짝사랑 이루어질까?,LOVE_SINGLE,LOVE_NEW
18105,다가올 인연의 외모·성격·직업은?,"LOVE_SINGLE, LOVE_COUPLE","CAREER, LOVE_GENERAL"
